Ticker	Name	Sector	Asset Class	Market Value	Weight (%)	Notional Value	Shares	Price	Location	Exchange	FX Rate	Market Currency	Accrual Date
NXPI	NXP SEMICONDUCTORS NV	Information Technology	Equity	"630,361,559.04"	0.14	"630,361,559.04"	"2,647,688.00"	238.08	United States	NASDAQ	1	USD	-
AON	AON PLC CLASS A	Financials	Equity	"629,304,300.00"	0.14	"629,304,300.00"	"2,056,550.00"	306	United States	New York Stock Exchange Inc.	1	USD	-
FDX	FEDEX CORP	Industrials	Equity	"627,018,045.44"	0.14	"627,018,045.44"	"2,361,472.00"	265.52	United States	New York Stock Exchange Inc.	1	USD	-
CEG	CONSTELLATION ENERGY CORP	Utilities	Equity	"616,782,409.83"	0.14	"616,782,409.83"	"3,280,583.00"	188.01	United States	NASDAQ	1	USD	-
MAR	MARRIOTT INTERNATIONAL INC CLASS A	Consumer Discretionary	Equity	"613,082,008.50"	0.14	"613,082,008.50"	"2,534,025.00"	241.94	United States	NASDAQ	1	USD	-
MCO	MOODYS CORP	Financials	Equity	"606,499,855.26"	0.14	"606,499,855.26"	"1,616,557.00"	375.18	United States	New York Stock Exchange Inc.	1	USD	-
PCAR	PACCAR INC	Industrials	Equity	"605,095,322.28"	0.14	"605,095,322.28"	"5,372,894.00"	112.62	United States	NASDAQ	1	USD	-
MSI	MOTOROLA SOLUTIONS INC	Information Technology	Equity	"594,998,476.38"	0.14	"594,998,476.38"	"1,704,769.00"	349.02	United States	New York Stock Exchange Inc.	1	USD	-
ROP	ROPER TECHNOLOGIES INC	Information Technology	Equity	"592,961,089.63"	0.14	"592,961,089.63"	"1,097,243.00"	540.41	United States	NASDAQ	1	USD	-
CTAS	CINTAS CORP	Industrials	Equity	"588,785,499.75"	0.14	"588,785,499.75"	"885,059.00"	665.25	United States	NASDAQ	1	USD	-
VLO	VALERO ENERGY CORP	Energy	Equity	"584,457,119.73"	0.13	"584,457,119.73"	"3,497,021.00"	167.13	United States	New York Stock Exchange Inc.	1	USD	-
ECL	ECOLAB INC	Materials	Equity	"572,923,515.94"	0.13	"572,923,515.94"	"2,606,686.00"	219.79	United States	New York Stock Exchange Inc.	1	USD	-
COF	CAPITAL ONE FINANCIAL CORP	Financials	Equity	"570,359,382.78"	0.13	"570,359,382.78"	"3,907,374.00"	145.97	United States	New York Stock Exchange Inc.	1	USD	-
NSC	NORFOLK SOUTHERN CORP	Industrials	Equity	"558,777,860.11"	0.13	"558,777,860.11"	"2,320,217.00"	240.83	United States	New York Stock Exchange Inc.	1	USD	-
EW	EDWARDS LIFESCIENCES CORP	Health Care	Equity	"548,284,609.99"	0.13	"548,284,609.99"	"6,229,799.00"	88.01	United States	New York Stock Exchange Inc.	1	USD	-
DXCM	DEXCOM INC	Health Care	Equity	"546,503,590.84"	0.13	"546,503,590.84"	"3,959,884.00"	138.01	United States	NASDAQ	1	USD	-
GM	GENERAL MOTORS	Consumer Discretionary	Equity	"540,961,047.60"	0.12	"540,961,047.60"	"11,857,980.00"	45.62	United States	New York Stock Exchange Inc.	1	USD	-
AIG	AMERICAN INTERNATIONAL GROUP INC	Financials	Equity	"538,165,736.34"	0.12	"538,165,736.34"	"7,211,118.00"	74.63	United States	New York Stock Exchange Inc.	1	USD	-
APD	AIR PRODUCTS AND CHEMICALS INC	Materials	Equity	"536,789,899.80"	0.12	"536,789,899.80"	"2,283,435.00"	235.08	United States	New York Stock Exchange Inc.	1	USD	-
WELL	WELLTOWER INC	Real Estate	Equity	"534,397,520.00"	0.12	"534,397,520.00"	"5,685,080.00"	94	United States	New York Stock Exchange Inc.	1	USD	-
HLT	HILTON WORLDWIDE HOLDINGS INC	Consumer Discretionary	Equity	"528,201,540.16"	0.12	"528,201,540.16"	"2,590,112.00"	203.93	United States	New York Stock Exchange Inc.	1	USD	-
AJG	ARTHUR J GALLAGHER	Financials	Equity	"527,663,007.20"	0.12	"527,663,007.20"	"2,226,896.00"	236.95	United States	New York Stock Exchange Inc.	1	USD	-
AZO	AUTOZONE INC	Consumer Discretionary	Equity	"523,120,578.75"	0.12	"523,120,578.75"	"177,615.00"	"2,945.25"	United States	New York Stock Exchange Inc.	1	USD	-
F	FORD MOTOR CO	Consumer Discretionary	Equity	"522,749,541.20"	0.12	"522,749,541.20"	"40,088,155.00"	13.04	United States	New York Stock Exchange Inc.	1	USD	-
TFC	TRUIST FINANCIAL CORP	Financials	Equity	"520,181,178.18"	0.12	"520,181,178.18"	"13,699,794.00"	37.97	United States	New York Stock Exchange Inc.	1	USD	-
MMM	3M	Industrials	Equity	"518,948,007.27"	0.12	"518,948,007.27"	"5,677,147.00"	91.41	United States	New York Stock Exchange Inc.	1	USD	-
NEM	NEWMONT	Materials	Equity	"513,889,490.04"	0.12	"513,889,490.04"	"11,838,044.00"	43.41	United States	New York Stock Exchange Inc.	1	USD	-
CARR	CARRIER GLOBAL CORP	Industrials	Equity	"513,276,680.47"	0.12	"513,276,680.47"	"8,581,787.00"	59.81	United States	New York Stock Exchange Inc.	1	USD	-
MCHP	MICROCHIP TECHNOLOGY INC	Information Technology	Equity	"511,828,663.85"	0.12	"511,828,663.85"	"5,550,685.00"	92.21	United States	NASDAQ	1	USD	-
TRV	TRAVELERS COMPANIES INC	Financials	Equity	"501,591,276.06"	0.12	"501,591,276.06"	"2,343,994.00"	213.99	United States	New York Stock Exchange Inc.	1	USD	-
CPRT	COPART INC	Industrials	Equity	"495,628,159.18"	0.11	"495,628,159.18"	"8,975,519.00"	55.22	United States	NASDAQ	1	USD	-
WMB	WILLIAMS INC	Energy	Equity	"492,947,553.90"	0.11	"492,947,553.90"	"12,495,502.00"	39.45	United States	New York Stock Exchange Inc.	1	USD	-
OKE	ONEOK INC	Energy	Equity	"486,959,121.22"	0.11	"486,959,121.22"	"5,983,769.00"	81.38	United States	New York Stock Exchange Inc.	1	USD	-
SPG	SIMON PROPERTY GROUP REIT INC	Real Estate	Equity	"477,812,653.64"	0.11	"477,812,653.64"	"3,347,668.00"	142.73	United States	New York Stock Exchange Inc.	1	USD	-
URI	UNITED RENTALS INC	Industrials	Equity	"476,855,020.08"	0.11	"476,855,020.08"	"690,174.00"	690.92	United States	New York Stock Exchange Inc.	1	USD	-
ADSK	AUTODESK INC	Information Technology	Equity	"475,495,070.80"	0.11	"475,495,070.80"	"2,197,297.00"	216.4	United States	NASDAQ	1	USD	-
KMB	KIMBERLY CLARK CORP	Consumer Staples	Equity	"472,095,823.36"	0.11	"472,095,823.36"	"3,460,352.00"	136.43	United States	New York Stock Exchange Inc.	1	USD	-
AEP	AMERICAN ELECTRIC POWER INC	Utilities	Equity	"469,184,713.20"	0.11	"469,184,713.20"	"5,401,620.00"	86.86	United States	NASDAQ	1	USD	-
SRE	SEMPRA	Utilities	Equity	"465,296,499.06"	0.11	"465,296,499.06"	"6,464,247.00"	71.98	United States	New York Stock Exchange Inc.	1	USD	-
ALL	ALLSTATE CORP	Financials	Equity	"464,681,893.06"	0.11	"464,681,893.06"	"2,696,309.00"	172.34	United States	New York Stock Exchange Inc.	1	USD	-
O	REALTY INCOME REIT CORP	Real Estate	Equity	"459,581,227.60"	0.11	"459,581,227.60"	"8,542,402.00"	53.8	United States	New York Stock Exchange Inc.	1	USD	-
OXY	OCCIDENTAL PETROLEUM CORP	Energy	Equity	"458,913,804.44"	0.11	"458,913,804.44"	"6,760,663.00"	67.88	United States	New York Stock Exchange Inc.	1	USD	-
ROST	ROSS STORES INC	Consumer Discretionary	Equity	"456,994,918.95"	0.1	"456,994,918.95"	"3,458,153.00"	132.15	United States	NASDAQ	1	USD	-
HES	HESS CORP	Energy	Equity	"456,484,052.90"	0.1	"456,484,052.90"	"2,827,402.00"	161.45	United States	New York Stock Exchange Inc.	1	USD	-
MET	METLIFE INC	Financials	Equity	"453,366,816.10"	0.1	"453,366,816.10"	"6,305,519.00"	71.9	United States	New York Stock Exchange Inc.	1	USD	-
AFL	AFLAC INC	Financials	Equity	"452,744,856.00"	0.1	"452,744,856.00"	"5,407,200.00"	83.73	United States	New York Stock Exchange Inc.	1	USD	-
JCI	JOHNSON CONTROLS INTERNATIONAL PLC	Industrials	Equity	"451,157,025.05"	0.1	"451,157,025.05"	"7,000,109.00"	64.45	United States	New York Stock Exchange Inc.	1	USD	-
BK	BANK OF NEW YORK MELLON CORP	Financials	Equity	"445,990,333.98"	0.1	"445,990,333.98"	"7,799,761.00"	57.18	United States	New York Stock Exchange Inc.	1	USD	-
TEL	TE CONNECTIVITY LTD	Information Technology	Equity	"445,585,702.40"	0.1	"445,585,702.40"	"3,171,880.00"	140.48	United States	New York Stock Exchange Inc.	1	USD	-
NUE	NUCOR CORP	Materials	Equity	"444,133,758.92"	0.1	"444,133,758.92"	"2,525,209.00"	175.88	United States	New York Stock Exchange Inc.	1	USD	-
DHI	D R HORTON INC	Consumer Discretionary	Equity	"442,331,048.60"	0.1	"442,331,048.60"	"3,067,483.00"	144.2	United States	New York Stock Exchange Inc.	1	USD	-
DLR	DIGITAL REALTY TRUST REIT INC	Real Estate	Equity	"440,151,053.72"	0.1	"440,151,053.72"	"3,110,828.00"	141.49	United States	New York Stock Exchange Inc.	1	USD	-
IQV	IQVIA HOLDINGS INC	Health Care	Equity	"438,614,462.38"	0.1	"438,614,462.38"	"1,874,581.00"	233.98	United States	New York Stock Exchange Inc.	1	USD	-
D	DOMINION ENERGY INC	Utilities	Equity	"438,104,072.04"	0.1	"438,104,072.04"	"8,595,332.00"	50.97	United States	New York Stock Exchange Inc.	1	USD	-
STZ	CONSTELLATION BRANDS INC CLASS A	Consumer Staples	Equity	"432,425,003.26"	0.1	"432,425,003.26"	"1,652,306.00"	261.71	United States	New York Stock Exchange Inc.	1	USD	-
GWW	WW GRAINGER INC	Industrials	Equity	"430,073,869.44"	0.1	"430,073,869.44"	"453,741.00"	947.84	United States	New York Stock Exchange Inc.	1	USD	-
FIS	FIDELITY NATIONAL INFORMATION SERV	Financials	Equity	"428,866,185.06"	0.1	"428,866,185.06"	"6,085,798.00"	70.47	United States	New York Stock Exchange Inc.	1	USD	-
LULU	LULULEMON ATHLETICA INC	Consumer Discretionary	Equity	"424,631,160.00"	0.1	"424,631,160.00"	"1,179,531.00"	360	United States	NASDAQ	1	USD	-
AMP	AMERIPRISE FINANCE INC	Financials	Equity	"422,918,022.93"	0.1	"422,918,022.93"	"1,029,223.00"	410.91	United States	New York Stock Exchange Inc.	1	USD	-
AME	AMETEK INC	Industrials	Equity	"421,822,743.39"	0.1	"421,822,743.39"	"2,370,723.00"	177.93	United States	New York Stock Exchange Inc.	1	USD	-
PSA	PUBLIC STORAGE REIT	Real Estate	Equity	"420,487,702.84"	0.1	"420,487,702.84"	"1,625,513.00"	258.68	United States	New York Stock Exchange Inc.	1	USD	-
CCI	CROWN CASTLE INC	Real Estate	Equity	"419,677,758.05"	0.1	"419,677,758.05"	"4,454,705.00"	94.21	United States	New York Stock Exchange Inc.	1	USD	-
FTNT	FORTINET INC	Information Technology	Equity	"419,193,781.02"	0.1	"419,193,781.02"	"6,546,834.00"	64.03	United States	NASDAQ	1	USD	-
IDXX	IDEXX LABORATORIES INC	Health Care	Equity	"417,378,471.84"	0.1	"417,378,471.84"	"853,116.00"	489.24	United States	NASDAQ	1	USD	-
GIS	GENERAL MILLS INC	Consumer Staples	Equity	"416,371,888.74"	0.1	"416,371,888.74"	"5,833,173.00"	71.38	United States	New York Stock Exchange Inc.	1	USD	-
CNC	CENTENE CORP	Health Care	Equity	"415,488,800.32"	0.1	"415,488,800.32"	"5,490,074.00"	75.68	United States	New York Stock Exchange Inc.	1	USD	-
GEV	GE VERNOVA INC	Industrials	Equity	"414,489,372.50"	0.1	"414,489,372.50"	"2,794,750.00"	148.31	United States	New York Stock Exchange Inc.	1	USD	-
PRU	PRUDENTIAL FINANCIAL INC	Financials	Equity	"412,263,333.78"	0.09	"412,263,333.78"	"3,708,071.00"	111.18	United States	New York Stock Exchange Inc.	1	USD	-
A	AGILENT TECHNOLOGIES INC	Health Care	Equity	"410,479,291.17"	0.09	"410,479,291.17"	"3,010,041.00"	136.37	United States	New York Stock Exchange Inc.	1	USD	-
YUM	YUM BRANDS INC	Consumer Discretionary	Equity	"408,589,582.60"	0.09	"408,589,582.60"	"2,886,335.00"	141.56	United States	New York Stock Exchange Inc.	1	USD	-
CMI	CUMMINS INC	Industrials	Equity	"408,263,914.74"	0.09	"408,263,914.74"	"1,400,034.00"	291.61	United States	New York Stock Exchange Inc.	1	USD	-
COR	CENCORA INC	Health Care	Equity	"407,755,756.08"	0.09	"407,755,756.08"	"1,700,683.00"	239.76	United States	New York Stock Exchange Inc.	1	USD	-
SMCI	SUPER MICRO COMPUTER INC	Information Technology	Equity	"407,250,366.60"	0.09	"407,250,366.60"	"517,209.00"	787.4	United States	NASDAQ	1	USD	-
DOW	DOW INC	Materials	Equity	"407,144,219.32"	0.09	"407,144,219.32"	"7,213,753.00"	56.44	United States	New York Stock Exchange Inc.	1	USD	-
RSG	REPUBLIC SERVICES INC	Industrials	Equity	"406,611,685.56"	0.09	"406,611,685.56"	"2,100,701.00"	193.56	United States	New York Stock Exchange Inc.	1	USD	-
LHX	L3HARRIS TECHNOLOGIES INC	Industrials	Equity	"403,707,525.12"	0.09	"403,707,525.12"	"1,946,892.00"	207.36	United States	New York Stock Exchange Inc.	1	USD	-
MNST	MONSTER BEVERAGE CORP	Consumer Staples	Equity	"403,292,260.95"	0.09	"403,292,260.95"	"7,587,813.00"	53.15	United States	NASDAQ	1	USD	-
PAYX	PAYCHEX INC	Industrials	Equity	"401,210,069.52"	0.09	"401,210,069.52"	"3,289,416.00"	121.97	United States	NASDAQ	1	USD	-
FAST	FASTENAL	Industrials	Equity	"400,512,406.18"	0.09	"400,512,406.18"	"5,877,787.00"	68.14	United States	NASDAQ	1	USD	-
CTVA	CORTEVA INC	Materials	Equity	"394,303,801.30"	0.09	"394,303,801.30"	"7,208,479.00"	54.7	United States	New York Stock Exchange Inc.	1	USD	-
SYY	SYSCO CORP	Consumer Staples	Equity	"394,103,302.32"	0.09	"394,103,302.32"	"5,113,576.00"	77.07	United States	New York Stock Exchange Inc.	1	USD	-
HUM	HUMANA INC	Health Care	Equity	"390,958,438.86"	0.09	"390,958,438.86"	"1,255,446.00"	311.41	United States	New York Stock Exchange Inc.	1	USD	-
LEN	LENNAR A CORP	Consumer Discretionary	Equity	"387,899,279.46"	0.09	"387,899,279.46"	"2,538,774.00"	152.79	United States	New York Stock Exchange Inc.	1	USD	-
OTIS	OTIS WORLDWIDE CORP	Industrials	Equity	"387,403,277.62"	0.09	"387,403,277.62"	"4,164,731.00"	93.02	United States	New York Stock Exchange Inc.	1	USD	-
EXC	EXELON CORP	Utilities	Equity	"385,065,817.36"	0.09	"385,065,817.36"	"10,224,796.00"	37.66	United States	NASDAQ	1	USD	-
IR	INGERSOLL RAND INC	Industrials	Equity	"382,655,034.14"	0.09	"382,655,034.14"	"4,157,938.00"	92.03	United States	New York Stock Exchange Inc.	1	USD	-
PWR	QUANTA SERVICES INC	Industrials	Equity	"380,833,051.69"	0.09	"380,833,051.69"	"1,492,351.00"	255.19	United States	New York Stock Exchange Inc.	1	USD	-
FANG	DIAMONDBACK ENERGY INC	Energy	Equity	"380,748,586.70"	0.09	"380,748,586.70"	"1,838,477.00"	207.1	United States	NASDAQ	1	USD	-
KR	KROGER	Consumer Staples	Equity	"380,105,980.03"	0.09	"380,105,980.03"	"6,798,533.00"	55.91	United States	New York Stock Exchange Inc.	1	USD	-
MLM	MARTIN MARIETTA MATERIALS INC	Materials	Equity	"379,057,054.34"	0.09	"379,057,054.34"	"634,862.00"	597.07	United States	New York Stock Exchange Inc.	1	USD	-
CSGP	COSTAR GROUP INC	Real Estate	Equity	"378,937,092.44"	0.09	"378,937,092.44"	"4,194,566.00"	90.34	United States	NASDAQ	1	USD	-
MSCI	MSCI INC	Financials	Equity	"377,349,353.55"	0.09	"377,349,353.55"	"812,395.00"	464.49	United States	New York Stock Exchange Inc.	1	USD	-
PCG	PG&E CORP	Utilities	Equity	"374,084,714.22"	0.09	"374,084,714.22"	"21,914,746.00"	17.07	United States	New York Stock Exchange Inc.	1	USD	-
GEHC	GE HEALTHCARE TECHNOLOGIES INC	Health Care	Equity	"373,870,724.85"	0.09	"373,870,724.85"	"4,349,863.00"	85.95	United States	NASDAQ	1	USD	-
KMI	KINDER MORGAN INC	Energy	Equity	"373,434,721.20"	0.09	"373,434,721.20"	"19,863,549.00"	18.8	United States	New York Stock Exchange Inc.	1	USD	-
KDP	KEURIG DR PEPPER INC	Consumer Staples	Equity	"362,017,680.48"	0.08	"362,017,680.48"	"10,697,922.00"	33.84	United States	NASDAQ	1	USD	-
MRNA	MODERNA INC	Health Care	Equity	"361,789,131.42"	0.08	"361,789,131.42"	"3,407,319.00"	106.18	United States	NASDAQ	1	USD	-
ODFL	OLD DOMINION FREIGHT LINE INC	Industrials	Equity	"361,477,992.76"	0.08	"361,477,992.76"	"1,838,086.00"	196.66	United States	NASDAQ	1	USD	-
IT	GARTNER INC	Information Technology	Equity	"357,343,903.53"	0.08	"357,343,903.53"	"800,663.00"	446.31	United States	New York Stock Exchange Inc.	1	USD	-
ACGL	ARCH CAPITAL GROUP LTD	Financials	Equity	"354,599,499.45"	0.08	"354,599,499.45"	"3,810,849.00"	93.05	United States	NASDAQ	1	USD	-
HAL	HALLIBURTON	Energy	Equity	"354,011,732.80"	0.08	"354,011,732.80"	"9,142,865.00"	38.72	United States	New York Stock Exchange Inc.	1	USD	-
VMC	VULCAN MATERIALS	Materials	Equity	"352,862,114.04"	0.08	"352,862,114.04"	"1,364,826.00"	258.54	United States	New York Stock Exchange Inc.	1	USD	-
PEG	PUBLIC SERVICE ENTERPRISE GROUP IN	Utilities	Equity	"348,519,754.44"	0.08	"348,519,754.44"	"5,118,516.00"	68.09	United States	New York Stock Exchange Inc.	1	USD	-
EL	ESTEE LAUDER INC CLASS A	Consumer Staples	Equity	"346,901,769.09"	0.08	"346,901,769.09"	"2,392,591.00"	144.99	United States	New York Stock Exchange Inc.	1	USD	-
DVN	DEVON ENERGY CORP	Energy	Equity	"346,230,987.07"	0.08	"346,230,987.07"	"6,581,087.00"	52.61	United States	New York Stock Exchange Inc.	1	USD	-
BKR	BAKER HUGHES CLASS A	Energy	Equity	"342,348,975.00"	0.08	"342,348,975.00"	"10,280,750.00"	33.3	United States	NASDAQ	1	USD	-
CTSH	COGNIZANT TECHNOLOGY SOLUTIONS COR	Information Technology	Equity	"341,498,829.96"	0.08	"341,498,829.96"	"5,115,321.00"	66.76	United States	NASDAQ	1	USD	-
KVUE	KENVUE INC	Consumer Staples	Equity	"336,714,864.00"	0.08	"336,714,864.00"	"17,703,200.00"	19.02	United States	New York Stock Exchange Inc.	1	USD	-
CDW	CDW CORP	Information Technology	Equity	"334,944,459.48"	0.08	"334,944,459.48"	"1,375,994.00"	243.42	United States	NASDAQ	1	USD	-
ADM	ARCHER DANIELS MIDLAND	Consumer Staples	Equity	"334,201,493.00"	0.08	"334,201,493.00"	"5,478,713.00"	61	United States	New York Stock Exchange Inc.	1	USD	-
ED	CONSOLIDATED EDISON INC	Utilities	Equity	"333,712,836.57"	0.08	"333,712,836.57"	"3,545,987.00"	94.11	United States	New York Stock Exchange Inc.	1	USD	-
GPN	GLOBAL PAYMENTS INC	Financials	Equity	"333,338,887.64"	0.08	"333,338,887.64"	"2,674,628.00"	124.63	United States	New York Stock Exchange Inc.	1	USD	-
RCL	ROYAL CARIBBEAN GROUP LTD	Consumer Discretionary	Equity	"333,120,328.34"	0.08	"333,120,328.34"	"2,423,222.00"	137.47	United States	New York Stock Exchange Inc.	1	USD	-
VRSK	VERISK ANALYTICS INC	Industrials	Equity	"331,791,121.45"	0.08	"331,791,121.45"	"1,489,255.00"	222.79	United States	NASDAQ	1	USD	-
DAL	DELTA AIR LINES INC	Industrials	Equity	"328,088,493.28"	0.08	"328,088,493.28"	"6,577,556.00"	49.88	United States	New York Stock Exchange Inc.	1	USD	-
ROK	ROCKWELL AUTOMATION INC	Industrials	Equity	"325,983,720.55"	0.07	"325,983,720.55"	"1,177,049.00"	276.95	United States	New York Stock Exchange Inc.	1	USD	-
MPWR	MONOLITHIC POWER SYSTEMS INC	Information Technology	Equity	"325,766,192.54"	0.07	"325,766,192.54"	"493,331.00"	660.34	United States	NASDAQ	1	USD	-
DD	DUPONT DE NEMOURS INC	Materials	Equity	"324,718,884.00"	0.07	"324,718,884.00"	"4,417,944.00"	73.5	United States	New York Stock Exchange Inc.	1	USD	-
XYL	XYLEM INC	Industrials	Equity	"323,426,408.36"	0.07	"323,426,408.36"	"2,476,276.00"	130.61	United States	New York Stock Exchange Inc.	1	USD	-
DFS	DISCOVER FINANCIAL SERVICES	Financials	Equity	"322,784,903.04"	0.07	"322,784,903.04"	"2,568,512.00"	125.67	United States	New York Stock Exchange Inc.	1	USD	-
DG	DOLLAR GENERAL CORP	Consumer Staples	Equity	"321,618,975.30"	0.07	"321,618,975.30"	"2,254,602.00"	142.65	United States	New York Stock Exchange Inc.	1	USD	-
EA	ELECTRONIC ARTS INC	Communication	Equity	"318,145,016.49"	0.07	"318,145,016.49"	"2,498,979.00"	127.31	United States	NASDAQ	1	USD	-
KHC	KRAFT HEINZ	Consumer Staples	Equity	"314,215,344.93"	0.07	"314,215,344.93"	"8,189,089.00"	38.37	United States	NASDAQ	1	USD	-
PPG	PPG INDUSTRIES INC	Materials	Equity	"313,006,949.16"	0.07	"313,006,949.16"	"2,422,092.00"	129.23	United States	New York Stock Exchange Inc.	1	USD	-
XEL	XCEL ENERGY INC	Utilities	Equity	"311,800,585.71"	0.07	"311,800,585.71"	"5,668,071.00"	55.01	United States	NASDAQ	1	USD	-
FICO	FAIR ISAAC CORP	Information Technology	Equity	"304,709,169.18"	0.07	"304,709,169.18"	"255,273.00"	"1,193.66"	United States	New York Stock Exchange Inc.	1	USD	-
HIG	HARTFORD FINANCIAL SERVICES GROUP	Financials	Equity	"303,819,155.37"	0.07	"303,819,155.37"	"3,066,093.00"	99.09	United States	New York Stock Exchange Inc.	1	USD	-
VICI	VICI PPTYS INC	Real Estate	Equity	"303,383,748.55"	0.07	"303,383,748.55"	"10,626,401.00"	28.55	United States	New York Stock Exchange Inc.	1	USD	-
BIIB	BIOGEN INC	Health Care	Equity	"301,329,518.86"	0.07	"301,329,518.86"	"1,488,341.00"	202.46	United States	NASDAQ	1	USD	-
WAB	WESTINGHOUSE AIR BRAKE TECHNOLOGIE	Industrials	Equity	"300,294,116.34"	0.07	"300,294,116.34"	"1,840,263.00"	163.18	United States	New York Stock Exchange Inc.	1	USD	-
TSCO	TRACTOR SUPPLY	Consumer Discretionary	Equity	"294,573,352.08"	0.07	"294,573,352.08"	"1,110,508.00"	265.26	United States	NASDAQ	1	USD	-
ANSS	ANSYS INC	Information Technology	Equity	"291,976,079.36"	0.07	"291,976,079.36"	"892,784.00"	327.04	United States	NASDAQ	1	USD	-
ON	ON SEMICONDUCTOR CORP	Information Technology	Equity	"291,369,234.94"	0.07	"291,369,234.94"	"4,389,413.00"	66.38	United States	NASDAQ	1	USD	-
EXR	EXTRA SPACE STORAGE REIT INC	Real Estate	Equity	"290,434,921.74"	0.07	"290,434,921.74"	"2,170,178.00"	133.83	United States	New York Stock Exchange Inc.	1	USD	-
HSY	HERSHEY FOODS	Consumer Staples	Equity	"288,129,776.90"	0.07	"288,129,776.90"	"1,539,566.00"	187.15	United States	New York Stock Exchange Inc.	1	USD	-
EFX	EQUIFAX INC	Industrials	Equity	"286,582,036.04"	0.07	"286,582,036.04"	"1,266,493.00"	226.28	United States	New York Stock Exchange Inc.	1	USD	-
EIX	EDISON INTERNATIONAL	Utilities	Equity	"280,246,865.25"	0.06	"280,246,865.25"	"3,939,925.00"	71.13	United States	New York Stock Exchange Inc.	1	USD	-
WST	WEST PHARMACEUTICAL SERVICES INC	Health Care	Equity	"279,816,800.00"	0.06	"279,816,800.00"	"760,000.00"	368.18	United States	New York Stock Exchange Inc.	1	USD	-
AVB	AVALONBAY COMMUNITIES REIT INC	Real Estate	Equity	"278,768,354.28"	0.06	"278,768,354.28"	"1,457,079.00"	191.32	United States	New York Stock Exchange Inc.	1	USD	-
RMD	RESMED INC	Health Care	Equity	"277,120,473.84"	0.06	"277,120,473.84"	"1,510,852.00"	183.42	United States	New York Stock Exchange Inc.	1	USD	-
FTV	FORTIVE CORP	Industrials	Equity	"274,529,301.54"	0.06	"274,529,301.54"	"3,602,274.00"	76.21	United States	New York Stock Exchange Inc.	1	USD	-
EBAY	EBAY INC	Consumer Discretionary	Equity	"273,693,180.62"	0.06	"273,693,180.62"	"5,330,993.00"	51.34	United States	NASDAQ	1	USD	-
MTD	METTLER TOLEDO INC	Health Care	Equity	"272,013,234.57"	0.06	"272,013,234.57"	"220,627.00"	"1,232.91"	United States	New York Stock Exchange Inc.	1	USD	-
CHD	CHURCH AND DWIGHT INC	Consumer Staples	Equity	"271,423,473.75"	0.06	"271,423,473.75"	"2,530,755.00"	107.25	United States	New York Stock Exchange Inc.	1	USD	-
WTW	WILLIS TOWERS WATSON PLC	Financials	Equity	"270,597,136.20"	0.06	"270,597,136.20"	"1,053,235.00"	256.92	United States	NASDAQ	1	USD	-
TRGP	TARGA RESOURCES CORP	Energy	Equity	"269,526,740.48"	0.06	"269,526,740.48"	"2,290,336.00"	117.68	United States	New York Stock Exchange Inc.	1	USD	-
WEC	WEC ENERGY GROUP INC	Utilities	Equity	"268,307,960.83"	0.06	"268,307,960.83"	"3,240,043.00"	82.81	United States	New York Stock Exchange Inc.	1	USD	-
CBRE	CBRE GROUP INC CLASS A	Real Estate	Equity	"265,810,160.74"	0.06	"265,810,160.74"	"3,054,587.00"	87.02	United States	New York Stock Exchange Inc.	1	USD	-
KEYS	KEYSIGHT TECHNOLOGIES INC	Information Technology	Equity	"264,510,207.63"	0.06	"264,510,207.63"	"1,794,141.00"	147.43	United States	New York Stock Exchange Inc.	1	USD	-
CHTR	CHARTER COMMUNICATIONS INC CLASS A	Communication	Equity	"262,820,416.90"	0.06	"262,820,416.90"	"1,014,359.00"	259.1	United States	NASDAQ	1	USD	-
LYB	LYONDELLBASELL INDUSTRIES NV CLASS	Materials	Equity	"262,075,565.92"	0.06	"262,075,565.92"	"2,629,169.00"	99.68	United States	New York Stock Exchange Inc.	1	USD	-
HWM	HOWMET AEROSPACE INC	Industrials	Equity	"260,355,513.60"	0.06	"260,355,513.60"	"4,017,832.00"	64.8	United States	New York Stock Exchange Inc.	1	USD	-
CAH	CARDINAL HEALTH INC	Health Care	Equity	"259,359,838.29"	0.06	"259,359,838.29"	"2,498,409.00"	103.81	United States	New York Stock Exchange Inc.	1	USD	-
DLTR	DOLLAR TREE INC	Consumer Staples	Equity	"258,714,156.90"	0.06	"258,714,156.90"	"2,126,010.00"	121.69	United States	NASDAQ	1	USD	-
FITB	FIFTH THIRD BANCORP	Financials	Equity	"257,604,465.58"	0.06	"257,604,465.58"	"6,996,319.00"	36.82	United States	NASDAQ	1	USD	-
DOV	DOVER CORP	Industrials	Equity	"257,376,054.92"	0.06	"257,376,054.92"	"1,436,972.00"	179.11	United States	New York Stock Exchange Inc.	1	USD	-
ZBH	ZIMMER BIOMET HOLDINGS INC	Health Care	Equity	"257,057,266.00"	0.06	"257,057,266.00"	"2,146,616.00"	119.75	United States	New York Stock Exchange Inc.	1	USD	-
NVR	NVR INC	Consumer Discretionary	Equity	"253,542,225.00"	0.06	"253,542,225.00"	"32,821.00"	"7,725.00"	United States	New York Stock Exchange Inc.	1	USD	-
HPQ	HP INC	Information Technology	Equity	"251,956,499.93"	0.06	"251,956,499.93"	"8,956,861.00"	28.13	United States	New York Stock Exchange Inc.	1	USD	-
