Ticker	Name	Sector	Asset Class	Market Value	Weight (%)	Notional Value	Shares	Price	Location	Exchange	FX Rate	Market Currency	Accrual Date
WMT	WALMART INC	Consumer Staples	Equity	"2,647,402,691.85"	0.61	"2,647,402,691.85"	"43,969,485.00"	60.21	United States	New York Stock Exchange Inc.	1	USD	-
AMD	ADVANCED MICRO DEVICES INC	Information Technology	Equity	"2,551,932,578.56"	0.59	"2,551,932,578.56"	"16,596,856.00"	153.76	United States	NASDAQ	1	USD	-
NFLX	NETFLIX INC	Communication	Equity	"2,510,630,321.60"	0.58	"2,510,630,321.60"	"4,445,167.00"	564.8	United States	NASDAQ	1	USD	-
PEP	PEPSICO INC	Consumer Staples	Equity	"2,494,316,119.40"	0.57	"2,494,316,119.40"	"14,117,705.00"	176.68	United States	NASDAQ	1	USD	-
KO	COCA-COLA	Consumer Staples	Equity	"2,467,617,528.60"	0.57	"2,467,617,528.60"	"39,967,890.00"	61.74	United States	New York Stock Exchange Inc.	1	USD	-
TMO	THERMO FISHER SCIENTIFIC INC	Health Care	Equity	"2,269,014,559.86"	0.52	"2,269,014,559.86"	"3,968,682.00"	571.73	United States	New York Stock Exchange Inc.	1	USD	-
WFC	WELLS FARGO	Financials	Equity	"2,215,397,011.23"	0.51	"2,215,397,011.23"	"36,966,411.00"	59.93	United States	New York Stock Exchange Inc.	1	USD	-
LIN	LINDE PLC	Materials	Equity	"2,210,552,569.07"	0.51	"2,210,552,569.07"	"4,980,629.00"	443.83	United States	NASDAQ	1	USD	-
ADBE	ADOBE INC	Information Technology	Equity	"2,198,082,971.04"	0.5	"2,198,082,971.04"	"4,642,791.00"	473.44	United States	NASDAQ	1	USD	-
DIS	WALT DISNEY	Communication	Equity	"2,124,740,956.59"	0.49	"2,124,740,956.59"	"18,841,367.00"	112.77	United States	New York Stock Exchange Inc.	1	USD	-
MCD	MCDONALDS CORP	Consumer Discretionary	Equity	"2,053,349,256.40"	0.47	"2,053,349,256.40"	"7,450,469.00"	275.6	United States	New York Stock Exchange Inc.	1	USD	-
CSCO	CISCO SYSTEMS INC	Information Technology	Equity	"2,007,634,452.20"	0.46	"2,007,634,452.20"	"41,738,762.00"	48.1	United States	NASDAQ	1	USD	-
ACN	ACCENTURE PLC CLASS A	Information Technology	Equity	"1,990,048,065.00"	0.46	"1,990,048,065.00"	"6,440,285.00"	309	United States	New York Stock Exchange Inc.	1	USD	-
ABT	ABBOTT LABORATORIES	Health Care	Equity	"1,905,554,448.72"	0.44	"1,905,554,448.72"	"17,832,252.00"	106.86	United States	New York Stock Exchange Inc.	1	USD	-
ORCL	ORACLE CORP	Information Technology	Equity	"1,881,543,649.46"	0.43	"1,881,543,649.46"	"16,376,914.00"	114.89	United States	New York Stock Exchange Inc.	1	USD	-
QCOM	QUALCOMM INC	Information Technology	Equity	"1,871,942,029.70"	0.43	"1,871,942,029.70"	"11,463,209.00"	163.3	United States	NASDAQ	1	USD	-
GE	GE AEROSPACE	Industrials	Equity	"1,802,736,183.16"	0.41	"1,802,736,183.16"	"11,179,066.00"	161.26	United States	New York Stock Exchange Inc.	1	USD	-
INTU	INTUIT INC	Information Technology	Equity	"1,801,128,696.29"	0.41	"1,801,128,696.29"	"2,875,411.00"	626.39	United States	NASDAQ	1	USD	-
CAT	CATERPILLAR INC	Industrials	Equity	"1,767,452,024.00"	0.41	"1,767,452,024.00"	"5,229,148.00"	338	United States	New York Stock Exchange Inc.	1	USD	-
VZ	VERIZON COMMUNICATIONS INC	Communication	Equity	"1,693,714,641.06"	0.39	"1,693,714,641.06"	"43,184,973.00"	39.22	United States	New York Stock Exchange Inc.	1	USD	-
AMAT	APPLIED MATERIAL INC	Information Technology	Equity	"1,687,972,065.00"	0.39	"1,687,972,065.00"	"8,546,694.00"	197.5	United States	NASDAQ	1	USD	-
DHR	DANAHER CORP	Health Care	Equity	"1,660,406,283.80"	0.38	"1,660,406,283.80"	"6,755,111.00"	245.8	United States	New York Stock Exchange Inc.	1	USD	-
TXN	TEXAS INSTRUMENT INC	Information Technology	Equity	"1,636,823,258.25"	0.38	"1,636,823,258.25"	"9,339,933.00"	175.25	United States	NASDAQ	1	USD	-
IBM	INTERNATIONAL BUSINESS MACHINES CO	Information Technology	Equity	"1,587,537,288.47"	0.36	"1,587,537,288.47"	"9,398,717.00"	168.91	United States	New York Stock Exchange Inc.	1	USD	-
COP	CONOCOPHILLIPS	Energy	Equity	"1,574,474,121.00"	0.36	"1,574,474,121.00"	"12,101,100.00"	130.11	United States	New York Stock Exchange Inc.	1	USD	-
CMCSA	COMCAST CORP CLASS A	Communication	Equity	"1,541,334,713.73"	0.35	"1,541,334,713.73"	"40,700,679.00"	37.87	United States	NASDAQ	1	USD	-
PM	PHILIP MORRIS INTERNATIONAL INC	Consumer Staples	Equity	"1,532,284,675.41"	0.35	"1,532,284,675.41"	"15,946,349.00"	96.09	United States	New York Stock Exchange Inc.	1	USD	-
UNP	UNION PACIFIC CORP	Industrials	Equity	"1,525,459,107.15"	0.35	"1,525,459,107.15"	"6,263,433.00"	243.55	United States	New York Stock Exchange Inc.	1	USD	-
INTC	INTEL CORPORATION CORP	Information Technology	Equity	"1,524,781,586.78"	0.35	"1,524,781,586.78"	"43,428,698.00"	35.11	United States	NASDAQ	1	USD	-
NOW	SERVICENOW INC	Information Technology	Equity	"1,508,200,462.50"	0.35	"1,508,200,462.50"	"2,105,690.00"	716.25	United States	New York Stock Exchange Inc.	1	USD	-
AMGN	AMGEN INC	Health Care	Equity	"1,480,343,309.36"	0.34	"1,480,343,309.36"	"5,495,372.00"	269.38	United States	NASDAQ	1	USD	-
PFE	PFIZER INC	Health Care	Equity	"1,465,035,214.02"	0.34	"1,465,035,214.02"	"57,998,227.00"	25.26	United States	New York Stock Exchange Inc.	1	USD	-
UBER	UBER TECHNOLOGIES INC	Industrials	Equity	"1,465,053,640.45"	0.34	"1,465,053,640.45"	"21,137,695.00"	69.31	United States	New York Stock Exchange Inc.	1	USD	-
NEE	NEXTERA ENERGY INC	Utilities	Equity	"1,409,885,521.80"	0.32	"1,409,885,521.80"	"21,074,522.00"	66.9	United States	New York Stock Exchange Inc.	1	USD	-
GS	GOLDMAN SACHS GROUP INC	Financials	Equity	"1,407,046,105.55"	0.32	"1,407,046,105.55"	"3,349,711.00"	420.05	United States	New York Stock Exchange Inc.	1	USD	-
AXP	AMERICAN EXPRESS	Financials	Equity	"1,392,715,441.80"	0.32	"1,392,715,441.80"	"5,873,958.00"	237.1	United States	New York Stock Exchange Inc.	1	USD	-
RTX	RTX CORP	Industrials	Equity	"1,386,180,772.76"	0.32	"1,386,180,772.76"	"13,628,756.00"	101.71	United States	New York Stock Exchange Inc.	1	USD	-
SPGI	S&P GLOBAL INC	Financials	Equity	"1,371,282,960.00"	0.31	"1,371,282,960.00"	"3,300,320.00"	415.5	United States	New York Stock Exchange Inc.	1	USD	-
LOW	LOWES COMPANIES INC	Consumer Discretionary	Equity	"1,358,465,704.00"	0.31	"1,358,465,704.00"	"5,907,400.00"	229.96	United States	New York Stock Exchange Inc.	1	USD	-
ISRG	INTUITIVE SURGICAL INC	Health Care	Equity	"1,350,312,325.12"	0.31	"1,350,312,325.12"	"3,618,976.00"	373.12	United States	NASDAQ	1	USD	-
HON	HONEYWELL INTERNATIONAL INC	Industrials	Equity	"1,307,061,373.74"	0.3	"1,307,061,373.74"	"6,771,637.00"	193.02	United States	NASDAQ	1	USD	-
ELV	ELEVANCE HEALTH INC	Health Care	Equity	"1,302,474,505.60"	0.3	"1,302,474,505.60"	"2,413,420.00"	539.68	United States	New York Stock Exchange Inc.	1	USD	-
ETN	EATON PLC	Industrials	Equity	"1,300,578,356.70"	0.3	"1,300,578,356.70"	"4,101,477.00"	317.1	United States	New York Stock Exchange Inc.	1	USD	-
MU	MICRON TECHNOLOGY INC	Information Technology	Equity	"1,265,207,405.28"	0.29	"1,265,207,405.28"	"11,339,016.00"	111.58	United States	NASDAQ	1	USD	-
PGR	PROGRESSIVE CORP	Financials	Equity	"1,262,948,612.59"	0.29	"1,262,948,612.59"	"6,012,037.00"	210.07	United States	New York Stock Exchange Inc.	1	USD	-
BKNG	BOOKING HOLDINGS INC	Consumer Discretionary	Equity	"1,255,218,782.40"	0.29	"1,255,218,782.40"	"358,380.00"	"3,502.48"	United States	NASDAQ	1	USD	-
T	AT&T INC	Communication	Equity	"1,217,677,843.76"	0.28	"1,217,677,843.76"	"73,442,572.00"	16.58	United States	New York Stock Exchange Inc.	1	USD	-
LRCX	LAM RESEARCH CORP	Information Technology	Equity	"1,213,960,068.15"	0.28	"1,213,960,068.15"	"1,346,645.00"	901.47	United States	NASDAQ	1	USD	-
C	CITIGROUP INC	Financials	Equity	"1,207,873,206.23"	0.28	"1,207,873,206.23"	"19,548,037.00"	61.79	United States	New York Stock Exchange Inc.	1	USD	-
MS	MORGAN STANLEY	Financials	Equity	"1,191,087,441.44"	0.27	"1,191,087,441.44"	"12,868,274.00"	92.56	United States	New York Stock Exchange Inc.	1	USD	-
NKE	NIKE INC CLASS B	Consumer Discretionary	Equity	"1,174,528,438.16"	0.27	"1,174,528,438.16"	"12,502,964.00"	93.94	United States	New York Stock Exchange Inc.	1	USD	-
